SNR,IqYX,IqYXs_1,IqYXs_2,IqYXs_3,IqYXs_4,EXIT,EXITs_1,EXITs_2,EXITs_3,EXITs_4,SER,SERs_1,SERs_2,SERs_3,SERs_4
-16.0002,0.00311482,0.0016151,0.00283965,0.00307878,0.00492575,0.00566733,0.00339535,0.0035109,0.00712107,0.00864199,0.937307,0.935425,0.938802,0.939941,0.935059
-14.0002,0.00572398,0.000996796,0.00550802,0.00564296,0.0107481,0.0138389,0.00683857,0.0116169,0.0146157,0.0222844,0.93692,0.938354,0.937012,0.94165,0.930664
-12.0002,0.0112502,0.00165293,0.0103006,0.0112611,0.0217861,0.0248835,0.0115445,0.0173067,0.0282353,0.0424477,0.939351,0.937744,0.940267,0.943359,0.936035
-10.0002,0.025043,0.00436329,0.0210239,0.0258632,0.0489214,0.0636991,0.021973,0.0475557,0.0755942,0.109673,0.935516,0.93811,0.9375,0.935791,0.930664
-8.00024,0.0524695,0.00449218,0.0457134,0.0601819,0.0994904,0.113414,0.0389877,0.090638,0.150891,0.173138,0.933604,0.940063,0.935221,0.933838,0.925293
-6.00024,0.105194,0.0166522,0.0792737,0.133157,0.191692,0.230512,0.101132,0.209796,0.284344,0.326776,0.92572,0.935547,0.933594,0.917725,0.916016
-4.00024,0.18112,0.0290198,0.162596,0.20111,0.331756,0.410519,0.256491,0.416143,0.470311,0.499129,0.912547,0.931274,0.913737,0.914062,0.891113
-2.00024,0.320725,0.0829724,0.25215,0.404315,0.543463,0.663883,0.541188,0.667044,0.712534,0.734766,0.887848,0.914673,0.901855,0.883301,0.851562
-0.000241225,0.529573,0.119057,0.533574,0.659438,0.806224,0.948551,0.872187,0.943521,0.990551,0.987947,0.868713,0.917969,0.867676,0.864014,0.825195
1.99976,0.765971,0.134832,0.858811,0.97493,1.09531,1.24657,1.18078,1.264,1.27184,1.26968,0.843018,0.922852,0.83252,0.820312,0.796387
3.99976,1.12846,0.612667,1.23015,1.289,1.38202,1.52718,1.48317,1.53083,1.54689,1.54781,0.791656,0.859985,0.774902,0.776367,0.755371
5.99976,1.53781,1.262,1.5729,1.62661,1.68973,1.83858,1.82064,1.82624,1.85521,1.85224,0.719533,0.766968,0.715169,0.699219,0.696777
7.99976,1.89768,1.70191,1.91121,1.96564,2.01196,2.11964,2.09907,2.13661,2.11383,2.12904,0.640971,0.675537,0.636393,0.63916,0.612793
9.99976,2.23726,2.09167,2.24314,2.28901,2.32524,2.4232,2.40429,2.42942,2.42646,2.43265,0.550496,0.592773,0.543783,0.541992,0.523438
11.9998,2.56863,2.43318,2.58599,2.61346,2.64189,2.7225,2.72048,2.7376,2.73061,2.70132,0.4499,0.502808,0.437663,0.438232,0.420898
13.9998,2.90107,2.80223,2.92674,2.92547,2.94985,3.03426,3.00369,3.04344,3.04728,3.04262,0.339122,0.372437,0.332194,0.335449,0.316406
15.9998,3.22161,3.13519,3.23915,3.24795,3.26415,3.35055,3.35121,3.33029,3.36956,3.35112,0.227346,0.258667,0.229329,0.223145,0.198242
17.9998,3.53336,3.4844,3.54584,3.53667,3.56653,3.64523,3.6347,3.64287,3.65521,3.64815,0.128103,0.141968,0.12972,0.128906,0.111816
19.9998,3.79418,3.77023,3.80627,3.79016,3.81004,3.85105,3.85086,3.84835,3.85304,3.85196,0.053477,0.0618896,0.0563151,0.0546875,0.0410156
21.9998,3.94068,3.93894,3.94215,3.93351,3.94811,3.96492,3.96326,3.9655,3.96796,3.96294,0.0168152,0.0162354,0.0200195,0.017334,0.0136719
23.9998,3.99239,3.99121,3.99344,3.98976,3.99516,3.99626,3.99571,3.99663,3.99575,3.99696,0.00236003,0.00268555,0.00358073,0.00219727,0.000976562
25.9998,3.99956,3.99959,3.99948,3.99916,4,3.99994,3.99998,3.99995,3.99997,3.99987,0.000132243,0.00012207,0.00016276,0.000244141,0
27.9998,4,4,4,4,4,4,4,4,4,4,4.06901e-05,0,0.00016276,0,0
29.9998,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
