SNR,IqYX,IqYXs_1,IqYXs_2,IqYXs_3,IqYXs_4,EXIT,EXITs_1,EXITs_2,EXITs_3,EXITs_4,SER,SERs_1,SERs_2,SERs_3,SERs_4
-16.0018,0.00208355,0.0019211,0.00190757,0.00156747,0.00293805,0.00317016,0.00302507,0.00225956,0.00373456,0.00366146,0.938711,0.938843,0.936849,0.941162,0.937988
-14.0018,0.00356227,0.00239721,0.00392607,0.00286867,0.00505711,0.00796747,0.0069205,0.00801946,0.00770049,0.00922941,0.934265,0.938721,0.934082,0.9375,0.926758
-12.0018,0.00614945,0.00503981,0.00572598,0.00458773,0.00924429,0.0144338,0.014477,0.0153457,0.0137797,0.0141327,0.934621,0.938599,0.933431,0.937744,0.928711
-10.0018,0.0122481,0.00795036,0.0105809,0.0125021,0.0179593,0.0335434,0.027278,0.0319464,0.0328399,0.0421093,0.937541,0.935791,0.942057,0.938232,0.934082
-8.00183,0.0235444,0.0118872,0.025779,0.0239471,0.0325641,0.0573555,0.0563983,0.0476166,0.0637244,0.0616826,0.936137,0.936768,0.938639,0.936523,0.932617
-6.00183,0.0522579,0.0369683,0.0557674,0.0525687,0.0637274,0.115294,0.111197,0.101166,0.120674,0.128139,0.928375,0.932251,0.928711,0.925781,0.926758
-4.00183,0.102355,0.0757561,0.106163,0.0995142,0.127989,0.199434,0.182132,0.213292,0.202023,0.200288,0.925242,0.926147,0.927897,0.924072,0.922852
-2.00183,0.175776,0.137298,0.175856,0.17375,0.216199,0.329176,0.331583,0.326251,0.33168,0.32719,0.91566,0.919312,0.923014,0.919922,0.900391
-0.00182897,0.288558,0.225555,0.284531,0.290692,0.353453,0.487421,0.483596,0.484872,0.4974,0.483817,0.906555,0.908447,0.913086,0.914062,0.890625
1.99817,0.430713,0.342059,0.41053,0.430759,0.539506,0.685949,0.655918,0.698403,0.704982,0.684492,0.888468,0.892822,0.894206,0.893311,0.873535
3.99817,0.624046,0.516491,0.605366,0.617313,0.757015,0.896952,0.86739,0.904554,0.911609,0.904256,0.859121,0.871948,0.863607,0.860596,0.840332
5.99817,0.911922,0.819137,0.918124,0.897516,1.01291,1.15497,1.14621,1.14655,1.1691,1.15802,0.825704,0.829834,0.829915,0.835449,0.807617
7.99817,1.20671,1.1001,1.22576,1.21241,1.28857,1.40243,1.38931,1.41943,1.39436,1.40662,0.781891,0.799927,0.785156,0.775879,0.766602
9.99817,1.48869,1.39209,1.49636,1.4998,1.56653,1.67422,1.65791,1.68266,1.67804,1.67828,0.733398,0.744873,0.735352,0.724854,0.728516
11.9982,1.77447,1.69211,1.77622,1.76779,1.86176,1.95243,1.95222,1.96785,1.96278,1.92688,0.670858,0.683105,0.673177,0.663574,0.663574
13.9982,2.06558,1.98008,2.07321,2.07008,2.13894,2.24835,2.22015,2.26094,2.26072,2.25158,0.594035,0.615479,0.597819,0.58667,0.576172
15.9982,2.37086,2.29749,2.36756,2.37216,2.44624,2.55538,2.5556,2.53622,2.57654,2.55317,0.510264,0.533081,0.517253,0.504883,0.48584
17.9982,2.6712,2.60166,2.66651,2.66895,2.74768,2.87164,2.85662,2.87459,2.8804,2.87496,0.412262,0.441772,0.42041,0.408447,0.378418
19.9982,2.98296,2.89901,2.98575,3.00348,3.0436,3.17022,3.16115,3.17041,3.17166,3.17765,0.31134,0.340576,0.31543,0.296875,0.29248
21.9982,3.28026,3.16263,3.2783,3.30857,3.37156,3.48037,3.47913,3.47237,3.49177,3.47821,0.210205,0.251709,0.218262,0.202393,0.168457
23.9982,3.58911,3.52046,3.59433,3.59638,3.64526,3.7371,3.73908,3.73074,3.73898,3.7396,0.115316,0.13501,0.123861,0.113037,0.0893555
25.9982,3.8336,3.83169,3.8341,3.80964,3.85897,3.90506,3.91076,3.90289,3.90113,3.90545,0.0456543,0.0446777,0.0532227,0.0529785,0.0317383
27.9982,3.96183,3.96428,3.96531,3.95205,3.96566,3.98318,3.98276,3.98488,3.98383,3.98126,0.0105693,0.00891113,0.0128581,0.0146484,0.00585938
29.9982,3.99462,3.99421,3.9973,3.98971,3.99726,3.99894,3.99916,3.99869,3.9991,3.99881,0.00187174,0.00146484,0.00211589,0.00292969,0.000976562
